Column,Data_Type
ti_vortex_pos_14,float64
ti_vortex_neg_14,float64
ti_konk_bl,float64
ti_konk_bro,float64
ti_konk_gre,float64
ti_konk_avg,float64
ti_konk_rest,float64
ti_konk_bl_avg_crash,int64
ti_konk_gre_avg_crash,int64
ti_konk_gre_bl_crash,int64
cycl_EBSW_40_10,float64
mtum_AO_5_34,float64
mtum_BIAS_SMA_26,float64
mtum_AR_26,float64
mtum_BR_26,float64
mtum_CFO_9,float64
mtum_CG_10,float64
mtum_CTI_12,float64
mtum_DMP_14,float64
mtum_DMN_14,float64
mtum_ER_10,float64
mtum_BULLP_13,float64
mtum_BEARP_13,float64
mtum_FISHERT_9_1,float64
mtum_FISHERTs_9_1,float64
mtum_INERTIA_20_14,float64
mtum_K_9_3,float64
mtum_D_9_3,float64
mtum_J_9_3,float64
mtum_PGO_14,float64
mtum_PSL_12,float64
mtum_PVO_12_26_9,float64
mtum_PVOh_12_26_9,float64
mtum_PVOs_12_26_9,float64
mtum_QQE_14_5_4236_RSIMA,float64
mtum_QQEl_14_5_4236,float64
mtum_QQEs_14_5_4236,float64
mtum_RSX_14,float64
mtum_STC_10_12_26_05,float64
mtum_STCmacd_10_12_26_05,float64
mtum_STCstoch_10_12_26_05,float64
mtum_SMI_5_20_5,float64
mtum_SMIs_5_20_5,float64
mtum_SMIo_5_20_5,float64
olap_ALMA_10_60_085,float64
olap_HWMA_02_01_01,float64
olap_JMA_7_0,float64
olap_MCGD_10,float64
olap_PWMA_10,float64
olap_SINWMA_14,float64
olap_SSF_10_2,float64
olap_SWMA_10,float64
olap_VMAP,float64
olap_VWMA_10,float64
perf_CUMLOGRET_1,float64
perf_CUMPCTRET_1,float64
perf_z_30_1,float64
perf_ha,float64
sti_ENTP_10,float64
sti_KURT_30,float64
sti_TOS_STDEVALL_LR,float64
sti_TOS_STDEVALL_L_1,float64
sti_TOS_STDEVALL_U_1,float64
sti_TOS_STDEVALL_L_2,float64
sti_TOS_STDEVALL_U_2,float64
sti_TOS_STDEVALL_L_3,float64
sti_TOS_STDEVALL_U_3,float64
sti_ZS_30,float64
tend_LDECAY_5,float64
tend_PSARl_002_02,float64
tend_PSARs_002_02,float64
tend_PSARaf_002_02,float64
tend_PSARr_002_02,int64
tend_VHF_28,float64
vola_HWM,float64
vola_HWU,float64
vola_HWL,float64
vola_KCLe_20_2,float64
vola_KCBe_20_2,float64
vola_KCUe_20_2,float64
vola_RVI_14,float64
vola_THERMO_20_2_05,float64
vola_THERMOma_20_2_05,float64
vola_THERMOl_20_2_05,int64
vola_THERMOs_20_2_05,int64
vola_TRUERANGE_1,float64
vola_UI_14,float64
volu_EFI_13,float64
volu_NVI_1,float64
volu_PVI_1,float64
volu_PVOL,float64
volu_PVR,float64
volu_PVT,float64
mtum_murrey_math,float64
mtum_td_seq,int64
mtum_td_seq_sig,int64
tend_hh,float64
tend_hl,float64
tend_ll,float64
tend_lh,float64
tend_hh_crash,int64
tend_hl_crash,int64
tend_ll_crash,int64
tend_lh_crash,int64
ichi_tenkan_sen,float64
ichi_kijun_sen,float64
ichi_senkou_a,float64
ichi_senkou_b,float64
ichi_isin_cloud,int64
ichi_crash,int64
ichi_chikou_span,float64
tend_renko_TR,float64
tend_renko_ATR,float64
tend_renko_brick,float64
tend_renko_change,int64
pcrh_trad_s3,int64
pcrh_trad_s2,int64
pcrh_trad_s1,int64
pcrh_trad_pp,int64
pcrh_trad_r1,int64
pcrh_trad_r2,int64
pcrh_trad_r3,int64
pcrh_clas_s3,int64
pcrh_clas_s2,int64
pcrh_clas_s1,int64
pcrh_clas_pp,int64
pcrh_clas_r1,int64
pcrh_clas_r2,int64
pcrh_clas_r3,int64
pcrh_fibo_s3,int64
pcrh_fibo_s2,int64
pcrh_fibo_s1,int64
pcrh_fibo_pp,int64
pcrh_fibo_r1,int64
pcrh_fibo_r2,int64
pcrh_fibo_r3,int64
pcrh_wood_s3,int64
pcrh_wood_s2,int64
pcrh_wood_s1,int64
pcrh_wood_pp,int64
pcrh_wood_r1,int64
pcrh_wood_r2,int64
pcrh_wood_r3,int64
pcrh_demark_s1,int64
pcrh_demark_pp,int64
pcrh_demark_r1,int64
pcrh_cama_s3,int64
pcrh_cama_s2,int64
pcrh_cama_s1,int64
pcrh_cama_pp,int64
pcrh_cama_r1,int64
pcrh_cama_r2,int64
pcrh_cama_r3,int64
mcrh_DEMA_5_DEMA_10,int64
mcrh_DEMA_5_EMA_10,int64
mcrh_DEMA_5_KAMA_10,int64
mcrh_DEMA_5_SMA_10,int64
mcrh_DEMA_5_T3_10,int64
mcrh_DEMA_5_TEMA_10,int64
mcrh_DEMA_5_TRIMA_10,int64
mcrh_DEMA_5_WMA_10,int64
mcrh_DEMA_5_DEMA_20,int64
mcrh_DEMA_5_EMA_20,int64
mcrh_DEMA_5_KAMA_20,int64
mcrh_DEMA_5_SMA_20,int64
mcrh_DEMA_5_T3_20,int64
mcrh_DEMA_5_TEMA_20,int64
mcrh_DEMA_5_TRIMA_20,int64
mcrh_DEMA_5_WMA_20,int64
mcrh_DEMA_5_DEMA_50,int64
mcrh_DEMA_5_EMA_50,int64
mcrh_DEMA_5_KAMA_50,int64
mcrh_DEMA_5_SMA_50,int64
mcrh_DEMA_5_T3_50,int64
mcrh_DEMA_5_TEMA_50,int64
mcrh_DEMA_5_TRIMA_50,int64
mcrh_DEMA_5_WMA_50,int64
mcrh_DEMA_5_DEMA_100,int64
mcrh_DEMA_5_EMA_100,int64
mcrh_DEMA_5_KAMA_100,int64
mcrh_DEMA_5_SMA_100,int64
mcrh_DEMA_5_T3_100,int64
