	acc_per	loss	epochs	df_test_%	positives	count	mean	std	min	25%	50%	60%	70%	75%	80%	85%	86%	87%	88%	89%	90%	91%	92%	93%	94%	95%	96%	97%	98%	max
TFm_PYPL_neg_vgood16_mult_linear	64.99	0.64	8.0	24.7	17.0	278.0	0.498	0.0836	0.3702	0.4502	0.4851	0.4947	0.5071	0.511	0.5253	0.6227	0.6247	0.6295	0.6322	0.6348	0.6369	0.6385	0.6407	0.6451	0.6541	0.6611	0.6635	0.6717	0.6908	0.8161
TFm_PYPL_neg_vgood16_mult_linear_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.69	10.07	11.71	13.1	15.71	17.86	16.67	17.95	18.92	20.59	22.58	25.0	24.0	26.09	30.0	29.41	35.71	33.33	44.44	50.0	-1.0
TFm_PYPL_neg_vgood16_mult_dense2	72.27	0.56	8.0	20.3	17.0	278.0	0.6174	0.1399	0.3368	0.5183	0.6288	0.6488	0.6846	0.7041	0.7309	0.7627	0.7732	0.796	0.8026	0.8114	0.8195	0.8298	0.8347	0.8381	0.8415	0.8506	0.8611	0.8677	0.8766	0.9463
TFm_PYPL_neg_vgood16_mult_dense2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.69	10.79	13.51	11.9	11.43	12.5	14.29	15.38	16.22	17.65	19.35	17.86	20.0	21.74	25.0	29.41	35.71	41.67	44.44	33.33	-1.0
TFm_PYPL_neg_vgood16_mult_lstm	77.28	0.48	9.0	19.2	17.0	278.0	0.5198	0.1511	0.1945	0.4351	0.5233	0.5504	0.5793	0.5891	0.6031	0.7365	0.7398	0.7407	0.7431	0.747	0.7559	0.7615	0.7668	0.7693	0.771	0.7749	0.7811	0.7851	0.8012	0.8348
TFm_PYPL_neg_vgood16_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.17	11.51	13.51	15.48	14.29	14.29	14.29	15.0	13.51	14.71	16.13	17.86	20.0	21.74	25.0	23.53	28.57	25.0	33.33	33.33	-1.0
TFm_PYPL_neg_vgood16__mult_gru	77.09	0.48	12.0	14.6	17.0	278.0	0.4772	0.279	0.0046	0.2291	0.4963	0.5856	0.7003	0.7171	0.7561	0.7957	0.8096	0.8134	0.822	0.825	0.84	0.8507	0.8561	0.8628	0.8739	0.882	0.8945	0.9007	0.9168	0.9594
TFm_PYPL_neg_vgood16__mult_gru_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.17	11.51	14.29	14.29	14.29	16.07	14.29	12.82	10.81	11.76	12.9	14.29	16.0	17.39	15.0	17.65	14.29	16.67	11.11	16.67	-1.0
TFm_PYPL_neg_good9_mult_conv2	86.11	0.32	9.0	7.8	9.0	275.0	0.5579	0.2879	0.0513	0.1779	0.6563	0.699	0.7427	0.7641	0.8011	0.8456	0.8519	0.8571	0.8631	0.8715	0.8779	0.883	0.8924	0.8984	0.903	0.9081	0.918	0.9182	0.9208	0.9401
TFm_PYPL_neg_good9_mult_conv2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.37	5.11	5.45	4.82	5.8	3.64	4.76	5.13	5.56	6.06	6.45	7.14	8.0	9.09	10.0	11.76	7.14	8.33	11.11	16.67	-1.0
TFm_PYPL_neg_good9__simp_cordo	77.91	0.49	8.0	7.8	9.0	275.0	0.5281	0.0912	0.3449	0.4196	0.5665	0.5741	0.5809	0.586	0.5937	0.6007	0.6029	0.6054	0.6099	0.6122	0.615	0.6157	0.6199	0.6229	0.6258	0.6272	0.6285	0.6304	0.6314	0.642
TFm_PYPL_neg_good9__simp_cordo_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.37	5.07	6.36	6.02	5.8	5.45	7.14	7.69	8.33	6.06	6.45	7.14	8.0	9.09	10.0	5.88	7.14	9.09	11.11	16.67	-1.0
TFm_PYPL_neg_good9_mult_dense2	86.04	0.33	10.0	3.9	9.0	275.0	0.5498	0.2458	0.0311	0.3155	0.6472	0.7201	0.7506	0.7632	0.781	0.7956	0.7979	0.8015	0.8052	0.8107	0.8123	0.8137	0.8163	0.8221	0.825	0.8297	0.8342	0.8363	0.8399	0.9057
TFm_PYPL_neg_good9_mult_dense2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.37	5.07	6.36	6.02	7.25	9.09	7.32	7.69	5.56	3.03	3.33	3.57	4.0	4.55	5.0	5.88	7.14	9.09	11.11	16.67	-1.0
TFm_PYPL_neg_good9_mult_lstm	92.19	0.2	9.0	8.3	9.0	275.0	0.56	0.2994	0.0208	0.2556	0.6121	0.7181	0.8119	0.8447	0.8667	0.8927	0.8956	0.9025	0.9067	0.9094	0.917	0.9192	0.9207	0.9231	0.9342	0.9457	0.95	0.9529	0.958	0.9849
TFm_PYPL_neg_good9_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.37	5.84	5.45	6.02	5.8	5.45	7.14	7.69	8.33	9.09	6.45	7.14	8.0	9.09	10.0	5.88	7.14	8.33	11.11	16.67	-1.0
TFm_PYPL_neg_reg4_mult_28	82.46	0.41	10.0	13.0	12.0	270.0	0.4243	0.1765	0.1035	0.2597	0.4603	0.4989	0.5364	0.5546	0.5708	0.5979	0.5999	0.6062	0.6202	0.6275	0.6397	0.6454	0.6589	0.6625	0.6764	0.6885	0.6997	0.7557	0.7612	0.7869
TFm_PYPL_neg_reg4_mult_28_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.45	5.93	7.41	8.64	8.82	11.11	14.63	13.16	14.29	12.12	13.33	11.11	12.0	13.64	15.79	17.65	14.29	18.18	11.11	16.67	-1.0
TFm_PYPL_neg_reg4_mult_64	89.09	0.29	9.0	24.4	12.0	270.0	0.4659	0.2548	0.039	0.1824	0.5178	0.5736	0.6187	0.6552	0.6972	0.7428	0.7625	0.7728	0.7861	0.7998	0.8081	0.8114	0.8242	0.8383	0.842	0.8488	0.8541	0.8587	0.87	0.9038
TFm_PYPL_neg_reg4_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.45	8.15	9.26	9.88	10.29	12.96	17.07	18.42	20.0	21.21	20.0	22.22	24.0	27.27	31.58	35.29	35.71	45.45	44.44	50.0	-1.0
TFm_PYPL_neg_reg4_mult_128	92.77	0.18	9.0	23.8	12.0	270.0	0.425	0.2529	0.0254	0.2016	0.3988	0.4943	0.5566	0.6258	0.684	0.7342	0.7485	0.7606	0.7732	0.778	0.7884	0.802	0.823	0.8319	0.843	0.8496	0.868	0.8749	0.8905	0.9674
TFm_PYPL_neg_reg4_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.94	8.15	10.19	12.35	14.71	14.81	19.51	21.05	22.86	24.24	23.33	22.22	24.0	22.73	26.32	29.41	21.43	27.27	22.22	33.33	-1.0
TFm_PYPL_neg_reg4_mult_conv2	87.06	0.45	18.0	19.8	12.0	270.0	0.8829	0.2108	0.1955	0.871	0.9975	0.9988	0.9993	0.9995	0.9997	0.9997	0.9998	0.9998	0.9998	0.9998	0.9998	0.9998	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	0.9999	1.0
TFm_PYPL_neg_reg4_mult_conv2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.94	7.41	9.26	11.9	14.49	21.28	21.28	17.24	17.24	17.24	17.24	17.24	17.24	25.0	25.0	25.0	25.0	25.0	25.0	25.0	-1.0
TFm_PYPL_neg_reg4_mult_conv	94.42	0.17	9.0	11.2	12.0	270.0	0.4883	0.2036	0.1008	0.3167	0.4907	0.5491	0.6092	0.645	0.6714	0.6996	0.7093	0.7218	0.7293	0.7481	0.7815	0.7969	0.8116	0.8175	0.8279	0.8342	0.8433	0.852	0.8681	0.912
TFm_PYPL_neg_reg4_mult_conv_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.45	8.15	9.26	9.88	10.29	11.11	14.63	15.79	17.14	15.15	13.33	11.11	8.0	9.09	10.53	11.76	14.29	18.18	22.22	16.67	-1.0
TFm_PYPL_neg_reg4__simp_cordo	78.25	0.49	9.0	13.6	12.0	270.0	0.4847	0.2127	0.1531	0.166	0.6004	0.6168	0.6344	0.6416	0.6483	0.654	0.6566	0.6573	0.6642	0.6652	0.6673	0.6719	0.6741	0.6752	0.6762	0.6806	0.6886	0.6947	0.6987	0.7046
TFm_PYPL_neg_reg4__simp_cordo_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.45	6.67	6.48	6.17	7.35	9.26	9.76	10.53	11.43	12.12	13.33	14.81	12.0	13.64	15.79	17.65	14.29	9.09	11.11	16.67	-1.0
TFm_PYPL_neg_reg4_mult_linear	75.3	0.49	12.0	17.0	12.0	270.0	0.5615	0.2666	0.0112	0.2658	0.6456	0.7035	0.7568	0.7731	0.8047	0.832	0.8359	0.8388	0.8472	0.8523	0.8591	0.8679	0.8702	0.8877	0.9079	0.9152	0.9268	0.9333	0.9377	0.9705
TFm_PYPL_neg_reg4_mult_linear_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.95	7.41	7.41	8.64	8.82	9.26	12.2	13.16	14.29	15.15	16.67	14.81	16.0	18.18	21.05	17.65	21.43	27.27	33.33	16.67	-1.0
TFm_PYPL_neg_reg4_mult_dense2	79.57	0.44	8.0	11.2	12.0	270.0	0.4753	0.3095	0.0002	0.1331	0.5417	0.5873	0.6375	0.6717	0.7204	0.8034	0.8199	0.8371	0.8472	0.8837	0.8942	0.9066	0.9175	0.9244	0.9298	0.9489	0.9654	0.9715	0.9851	0.993
TFm_PYPL_neg_reg4_mult_dense2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.45	7.41	8.33	8.64	8.82	11.11	9.76	10.53	11.43	12.12	13.33	15.38	12.0	9.09	5.26	5.88	7.14	9.09	11.11	16.67	-1.0
TFm_PYPL_neg_reg4_mult_lstm	93.89	0.17	12.0	28.0	12.0	270.0	0.3056	0.3225	0.0	0.0008	0.1603	0.3509	0.5235	0.6064	0.6477	0.7377	0.7504	0.7783	0.791	0.7949	0.8121	0.8138	0.827	0.8447	0.8706	0.8856	0.9094	0.9151	0.9435	0.9674
TFm_PYPL_neg_reg4_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.94	8.15	10.19	13.58	16.18	20.37	21.95	21.05	22.22	24.24	26.67	25.93	28.0	31.82	31.58	29.41	35.71	36.36	44.44	66.67	-1.0
TFm_PYPL_neg_reg4__mult_gru	91.0	0.23	11.0	22.7	12.0	270.0	0.4193	0.3772	0.0051	0.0174	0.3946	0.5762	0.7505	0.8184	0.8589	0.9007	0.906	0.9156	0.9205	0.9317	0.9363	0.9383	0.9422	0.9488	0.9502	0.9544	0.9596	0.9604	0.9641	0.9704
TFm_PYPL_neg_reg4__mult_gru_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.91	8.89	11.21	13.58	14.71	18.52	19.51	21.05	20.0	21.21	20.0	22.22	24.0	22.73	26.32	29.41	28.57	36.36	37.5	50.0	-1.0
TFm_PYPL_neg_low1_mult_64	91.88	0.23	8.0	20.2	14.0	265.0	0.5124	0.1423	0.1894	0.3953	0.5761	0.5907	0.6069	0.6149	0.6227	0.6305	0.6328	0.6381	0.64	0.6409	0.6422	0.6449	0.647	0.6485	0.6512	0.6552	0.6631	0.6676	0.6809	0.7103
TFm_PYPL_neg_low1_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.07	9.09	9.43	11.25	11.94	12.96	15.0	15.79	14.29	15.62	17.24	18.52	20.83	22.73	26.32	31.25	35.71	36.36	50.0	50.0	-1.0
TFm_PYPL_neg_low1_mult_128	92.85	0.19	9.0	25.8	14.0	265.0	0.3055	0.2003	0.0141	0.1412	0.2808	0.3242	0.3786	0.4152	0.4623	0.4985	0.5112	0.5245	0.5301	0.5483	0.5835	0.6246	0.6503	0.6566	0.6936	0.7094	0.7275	0.7608	0.7992	0.9734
TFm_PYPL_neg_low1_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.57	8.27	9.43	11.25	13.64	13.21	17.5	18.92	20.0	21.88	24.14	25.93	29.17	27.27	26.32	18.75	21.43	18.18	25.0	16.67	-1.0
TFm_PYPL_neg_low1_mult_conv2	78.62	0.93	11.0	16.7	14.0	265.0	0.9135	0.1336	0.5327	0.8246	0.9917	0.993	0.9938	0.9942	0.9947	0.9953	0.9956	0.9956	0.9958	0.9958	0.9959	0.9961	0.9963	0.9964	0.9966	0.9968	0.9969	0.997	0.9973	0.9978
TFm_PYPL_neg_low1_mult_conv2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.07	6.98	8.41	8.97	9.23	10.91	12.2	10.53	10.53	13.79	13.79	14.81	16.67	20.0	21.05	17.65	20.0	30.0	37.5	50.0	-1.0
TFm_PYPL_neg_low1_mult_conv	97.4	0.09	8.0	15.5	14.0	265.0	0.6443	0.1635	0.291	0.4696	0.7188	0.7383	0.7564	0.7649	0.7773	0.7843	0.7872	0.7896	0.7928	0.7958	0.7971	0.8	0.8032	0.8063	0.8092	0.8125	0.8154	0.821	0.8306	0.8963
TFm_PYPL_neg_low1_mult_conv_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.04	7.52	8.49	10.0	10.45	13.21	12.5	13.51	14.29	15.62	16.67	14.81	16.67	13.64	15.79	12.5	14.29	18.18	12.5	16.67	-1.0
TFm_PYPL_neg_low1__simp_cordo	84.93	0.37	20.0	8.6	14.0	265.0	0.4639	0.3836	0.0089	0.0142	0.7331	0.7892	0.8206	0.8308	0.8377	0.8413	0.8427	0.8441	0.8445	0.8448	0.8456	0.8462	0.8468	0.8478	0.8487	0.8495	0.8504	0.852	0.8527	0.8554
TFm_PYPL_neg_low1__simp_cordo_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.53	9.09	9.43	10.0	8.96	7.69	10.0	10.81	8.57	9.38	6.9	7.41	8.0	9.09	10.53	12.5	15.38	18.18	12.5	16.67	-1.0
TFm_PYPL_neg_low1_mult_lstm	95.91	0.13	17.0	25.8	14.0	265.0	0.3022	0.3826	0.0	0.0	0.0231	0.2315	0.5509	0.6663	0.7955	0.8578	0.889	0.9178	0.9365	0.9467	0.9584	0.9631	0.9672	0.9783	0.9821	0.9834	0.9884	0.9914	0.9921	0.9959
TFm_PYPL_neg_low1_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.28	9.09	10.38	11.25	13.43	15.09	17.5	18.92	20.0	21.88	23.33	25.93	25.0	27.27	31.58	25.0	30.77	27.27	22.22	33.33	-1.0
TFm_PYPL_neg_low1__mult_gru	91.62	0.23	8.0	4.1	14.0	265.0	0.4027	0.1766	0.0755	0.1598	0.5059	0.5101	0.5133	0.516	0.52	0.5215	0.5219	0.5226	0.5237	0.5247	0.5252	0.5268	0.5276	0.5281	0.5289	0.5299	0.5307	0.5335	0.5351	0.5769
TFm_PYPL_neg_low1__mult_gru_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.07	6.02	5.66	7.5	8.96	9.43	2.5	2.7	2.86	3.03	3.45	3.7	4.17	4.76	5.26	6.25	7.14	9.09	12.5	16.67	-1.0
TFm_PYPL_pos_vgood16_mult_28	64.71	0.63	11.0	3.8	9.0	284.0	0.4908	0.1154	0.3615	0.4136	0.4368	0.4544	0.4983	0.5248	0.5855	0.7052	0.7059	0.7089	0.7108	0.7122	0.713	0.7149	0.716	0.7177	0.7184	0.7198	0.7205	0.7224	0.7302	0.7844
TFm_PYPL_pos_vgood16_mult_28_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.29	3.52	4.39	5.88	5.63	3.51	2.27	2.5	2.7	2.94	3.33	3.45	3.85	4.35	5.0	5.88	7.14	8.33	11.11	16.67	-1.0
TFm_PYPL_pos_vgood16_mult_64	75.03	0.5	20.0	18.9	9.0	284.0	0.4709	0.225	0.0279	0.2772	0.4894	0.5387	0.5928	0.664	0.7177	0.728	0.7286	0.7312	0.7331	0.7355	0.7549	0.7691	0.7807	0.8099	0.8152	0.8508	0.8636	0.8731	0.8837	0.9532
TFm_PYPL_pos_vgood16_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.76	4.93	5.26	7.06	8.45	8.77	11.63	12.5	13.51	14.71	15.62	17.24	19.23	21.74	25.0	29.41	33.33	36.36	44.44	50.0	-1.0
TFm_PYPL_pos_vgood16_mult_128	76.05	0.46	21.0	19.4	9.0	284.0	0.5518	0.2679	0.0242	0.2926	0.607	0.6987	0.7426	0.7789	0.8061	0.8309	0.8383	0.8554	0.8594	0.8685	0.8736	0.8787	0.8863	0.8929	0.9156	0.9348	0.9506	0.9528	0.9565	0.98
TFm_PYPL_pos_vgood16_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.76	5.63	7.02	7.06	8.45	10.53	13.95	15.0	16.22	17.65	15.62	17.24	19.23	21.74	25.0	29.41	33.33	16.67	25.0	33.33	-1.0
TFm_PYPL_pos_vgood16_mult_conv2	80.19	0.41	19.0	19.7	9.0	284.0	0.508	0.3151	0.0023	0.1913	0.5551	0.7101	0.7637	0.7975	0.8265	0.8597	0.8627	0.8644	0.8651	0.8701	0.8788	0.8848	0.893	0.9133	0.916	0.923	0.9413	0.9513	0.9613	0.9799
TFm_PYPL_pos_vgood16_mult_conv2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.76	5.63	7.02	8.24	8.45	10.53	14.29	15.0	16.22	17.65	18.75	20.69	19.23	21.74	20.0	23.53	26.67	25.0	33.33	33.33	-1.0
TFm_PYPL_pos_vgood16_mult_conv	68.6	0.57	9.0	3.8	9.0	284.0	0.5573	0.1274	0.2977	0.4757	0.53	0.5553	0.5845	0.6109	0.6418	0.7529	0.767	0.7804	0.7895	0.7927	0.7933	0.7943	0.7964	0.7989	0.8019	0.8032	0.8039	0.8041	0.8096	0.8747
TFm_PYPL_pos_vgood16_mult_conv_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.76	4.23	4.35	5.88	6.94	7.02	2.33	2.5	2.7	2.94	3.12	3.45	3.85	4.35	5.0	5.56	6.67	8.33	11.11	16.67	-1.0
TFm_PYPL_pos_vgood16_mult_linear	62.17	0.65	10.0	3.8	9.0	284.0	0.5654	0.1246	0.3985	0.481	0.5113	0.5416	0.5649	0.5996	0.6489	0.809	0.8103	0.811	0.8112	0.8132	0.8137	0.8145	0.8189	0.8195	0.8197	0.8203	0.8226	0.8233	0.8246	0.8316
TFm_PYPL_pos_vgood16_mult_linear_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.29	4.23	4.39	5.88	5.63	1.75	2.33	2.5	2.63	2.86	3.12	3.45	3.85	4.35	5.0	5.88	6.67	8.33	11.11	16.67	-1.0
TFm_PYPL_pos_vgood16_mult_lstm	74.97	0.49	16.0	18.9	9.0	284.0	0.4317	0.2292	0.0076	0.315	0.4252	0.5245	0.5602	0.6046	0.6551	0.6788	0.6796	0.6826	0.6927	0.6969	0.7196	0.736	0.7436	0.7496	0.7545	0.7715	0.7752	0.7978	0.8732	0.9495
TFm_PYPL_pos_vgood16_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	4.23	6.34	7.02	9.41	8.45	8.77	11.63	12.5	13.51	14.71	15.62	17.24	19.23	21.74	25.0	23.53	26.67	33.33	44.44	66.67	-1.0
TFm_PYPL_pos_vgood16__mult_gru	66.82	0.58	10.0	3.7	9.0	284.0	0.6011	0.1491	0.3861	0.4836	0.5471	0.5764	0.6318	0.7114	0.795	0.8445	0.8487	0.8538	0.8543	0.8546	0.8552	0.8562	0.8571	0.8572	0.8574	0.8583	0.86	0.8626	0.8681	0.88
TFm_PYPL_pos_vgood16__mult_gru_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.76	4.93	6.14	5.88	7.04	8.77	2.33	2.5	2.7	3.03	3.23	3.45	3.85	4.17	4.76	5.26	6.67	8.33	11.11	16.67	-1.0
TFm_PYPL_pos_good9_mult_28	83.96	0.38	14.0	26.9	15.0	278.0	0.412	0.2639	0.0054	0.1685	0.432	0.4817	0.5747	0.6305	0.6861	0.756	0.7638	0.7703	0.7735	0.7833	0.7903	0.798	0.8039	0.8179	0.8217	0.8247	0.832	0.8357	0.8408	0.9148
TFm_PYPL_pos_good9_mult_28_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.21	10.79	12.61	14.29	17.14	16.07	21.43	20.51	22.22	20.59	22.58	25.0	28.0	30.43	35.0	41.18	42.86	41.67	33.33	33.33	-1.0
TFm_PYPL_pos_good9_mult_64	87.13	0.3	10.0	21.4	15.0	278.0	0.4411	0.2146	0.0708	0.2585	0.4158	0.4849	0.5458	0.6147	0.6622	0.703	0.7153	0.7197	0.7337	0.7507	0.7658	0.7694	0.7769	0.7868	0.7976	0.807	0.8421	0.8498	0.8673	0.8899
TFm_PYPL_pos_good9_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.25	7.19	8.11	10.71	11.43	10.71	14.29	15.38	16.67	17.65	19.35	21.43	24.0	26.09	20.0	23.53	28.57	33.33	44.44	50.0	-1.0
TFm_PYPL_pos_good9_mult_128	93.73	0.18	9.0	14.6	15.0	278.0	0.5228	0.2212	0.0505	0.3561	0.5319	0.5873	0.662	0.6952	0.73	0.7857	0.7919	0.8012	0.8157	0.823	0.8284	0.8461	0.8488	0.8564	0.8602	0.8688	0.8753	0.886	0.8951	0.9387
TFm_PYPL_pos_good9_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.73	9.35	9.91	11.9	14.29	12.5	16.67	15.38	13.51	11.76	12.9	14.29	16.0	17.39	15.0	17.65	21.43	25.0	33.33	50.0	-1.0
TFm_PYPL_pos_good9_mult_conv2	93.92	0.15	14.0	14.0	15.0	278.0	0.412	0.3763	0.0002	0.0515	0.2606	0.5275	0.7238	0.7971	0.8941	0.9438	0.9495	0.9559	0.9604	0.9636	0.969	0.9765	0.9786	0.9807	0.9848	0.9875	0.9897	0.9925	0.9958	0.9982
TFm_PYPL_pos_good9_mult_conv2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.73	9.35	11.71	15.48	17.14	17.86	21.43	17.95	16.22	17.65	12.9	14.29	15.38	13.64	10.0	11.76	14.29	16.67	22.22	16.67	-1.0
TFm_PYPL_pos_good9_mult_dense2	86.16	0.32	8.0	16.4	15.0	278.0	0.6026	0.1598	0.1452	0.4853	0.519	0.5862	0.7142	0.7421	0.7702	0.7999	0.8101	0.8118	0.8186	0.8263	0.8387	0.8554	0.8642	0.8742	0.8915	0.8943	0.9049	0.9187	0.9306	0.9666
TFm_PYPL_pos_good9_mult_dense2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.7	7.91	9.01	10.71	11.43	10.71	11.9	12.82	13.89	14.71	16.13	14.29	16.0	17.39	20.0	23.53	28.57	33.33	44.44	50.0	-1.0
TFm_PYPL_pos_good9_mult_lstm	91.98	0.19	9.0	23.2	15.0	278.0	0.6353	0.2564	0.0121	0.5179	0.6999	0.7143	0.7369	0.8316	0.8636	0.9043	0.9091	0.9106	0.9125	0.9162	0.9222	0.9282	0.9303	0.9329	0.9368	0.9415	0.9459	0.9512	0.9818	0.9955
TFm_PYPL_pos_good9_mult_lstm_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.73	10.07	10.81	9.52	10.0	10.71	14.29	15.38	16.22	18.18	19.35	21.43	24.0	26.09	30.0	35.29	42.86	50.0	66.67	66.67	-1.0
TFm_PYPL_pos_good9__mult_gru	88.23	0.29	8.0	7.7	15.0	278.0	0.5272	0.2293	0.1087	0.3376	0.5273	0.6048	0.6579	0.7121	0.7627	0.8119	0.8339	0.8374	0.8447	0.8527	0.8566	0.8646	0.8725	0.8825	0.8883	0.8968	0.8987	0.9029	0.9082	0.921
TFm_PYPL_pos_good9__mult_gru_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.21	8.63	10.81	13.1	12.86	12.5	4.76	5.13	5.56	5.88	6.45	7.14	8.0	8.7	10.0	11.76	14.29	16.67	22.22	33.33	-1.0
TFm_PYPL_pos_reg4_mult_28	87.72	0.32	11.0	12.6	15.0	265.0	0.4709	0.1711	0.0942	0.3555	0.4718	0.5229	0.5621	0.5743	0.5963	0.6538	0.6692	0.6813	0.6873	0.6977	0.704	0.7139	0.7259	0.7438	0.7523	0.7752	0.7843	0.7952	0.8129	0.8618
TFm_PYPL_pos_reg4_mult_28_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.04	9.85	10.38	11.25	8.96	11.32	10.0	10.81	11.43	12.5	10.0	11.11	12.5	13.64	15.79	18.75	21.43	18.18	12.5	16.67	-1.0
TFm_PYPL_pos_reg4_mult_64	95.59	0.12	20.0	32.8	15.0	265.0	0.3998	0.3278	0.0008	0.0916	0.3485	0.4665	0.5959	0.6544	0.753	0.8723	0.8847	0.8942	0.9002	0.9117	0.9188	0.931	0.9382	0.951	0.9528	0.955	0.964	0.9714	0.977	0.9951
TFm_PYPL_pos_reg4_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.54	9.77	12.26	16.25	17.91	22.64	30.0	27.03	28.57	31.25	30.0	33.33	33.33	31.82	36.84	37.5	42.86	45.45	50.0	50.0	-1.0
TFm_PYPL_pos_reg4_mult_128	96.07	0.1	15.0	24.0	15.0	265.0	0.369	0.3419	0.0003	0.0643	0.2611	0.3882	0.5773	0.6455	0.7376	0.8503	0.8817	0.8911	0.9033	0.9281	0.9305	0.9539	0.9681	0.9752	0.9807	0.9821	0.9856	0.9897	0.9926	0.9994
TFm_PYPL_pos_reg4_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.54	10.61	13.21	15.0	18.18	20.75	25.0	24.32	22.86	21.88	23.33	25.93	29.17	22.73	21.05	25.0	28.57	36.36	50.0	50.0	-1.0
TFm_PYPL_pos_reg4_mult_conv2	75.37	0.74	8.0	14.4	15.0	265.0	0.8902	0.0332	0.815	0.8587	0.9044	0.9067	0.9102	0.9123	0.9141	0.9161	0.9166	0.9171	0.9174	0.9192	0.9222	0.9251	0.9266	0.9286	0.9301	0.931	0.9337	0.9342	0.9359	0.9415
