	acc_per	loss	epochs	df_test_%	positives	count	mean	std	min	25%	50%	60%	70%	75%	80%	85%	86%	87%	88%	89%	90%	91%	92%	93%	94%	95%	96%	97%	98%	max
TFm_UBER_pos_good9_mult_28_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.31	7.97	9.91	13.25	14.49	14.29	14.29	12.82	13.89	14.71	16.13	14.29	16.0	13.04	10.0	11.76	14.29	18.18	22.22	33.33	-1.0
TFm_UBER_pos_good9_mult_64	87.13	0.31	20.0	18.8	12.0	276.0	0.4873	0.255	0.0027	0.2927	0.4886	0.5785	0.6597	0.6877	0.7219	0.7895	0.7974	0.8008	0.8091	0.8143	0.8265	0.8368	0.8405	0.8478	0.8692	0.8799	0.8933	0.924	0.9326	0.9996
TFm_UBER_pos_good9_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.31	7.25	9.09	10.84	13.04	10.91	14.29	15.38	16.67	17.14	16.13	17.86	20.0	21.74	20.0	23.53	28.57	27.27	22.22	33.33	-1.0
TFm_UBER_pos_good9_mult_128	87.32	0.3	12.0	18.4	12.0	276.0	0.5333	0.2153	0.0085	0.3808	0.5293	0.6053	0.6733	0.7029	0.7458	0.7617	0.7728	0.7805	0.7896	0.7982	0.8102	0.8204	0.8249	0.8307	0.8511	0.8622	0.8712	0.888	0.9088	0.9979
TFm_UBER_pos_good9_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.31	7.97	9.09	10.84	11.59	12.5	11.9	12.82	13.89	14.71	16.13	17.86	20.0	21.74	20.0	11.76	14.29	18.18	22.22	33.33	-1.0
TFm_UBER_pos_good9_mult_conv2	75.29	0.51	8.0	11.5	12.0	276.0	0.7908	0.0447	0.7172	0.7591	0.7826	0.7896	0.803	0.8086	0.8244	0.831	0.8321	0.8363	0.8399	0.8421	0.8442	0.8503	0.8621	0.8708	0.879	0.885	0.8915	0.8981	0.9215	0.9521
TFm_UBER_pos_good9_mult_conv2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3.86	5.07	6.31	4.82	5.8	7.14	9.76	7.69	8.33	8.82	9.68	10.71	12.0	13.04	15.0	17.65	21.43	27.27	33.33	33.33	-1.0
TFm_UBER_pos_good9_mult_conv	82.96	0.38	11.0	15.5	12.0	276.0	0.4646	0.2063	0.0884	0.3052	0.4444	0.5214	0.584	0.6141	0.6501	0.6917	0.7107	0.7144	0.7211	0.7248	0.733	0.7439	0.7651	0.7941	0.8344	0.8382	0.85	0.8635	0.9152	0.9989
TFm_UBER_pos_good9_mult_conv_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	5.31	7.97	9.01	9.64	11.59	12.5	9.52	10.26	11.11	11.76	12.9	14.29	16.0	18.18	20.0	23.53	28.57	27.27	33.33	33.33	-1.0
TFm_UBER_pos_good9__simp_cordo	71.72	0.57	26.0	12.7	12.0	276.0	0.592	0.2046	0.1255	0.462	0.6794	0.7214	0.7479	0.7553	0.7688	0.7769	0.778	0.78	0.7813	0.7827	0.7839	0.7848	0.7878	0.7916	0.7926	0.794	0.797	0.7988	0.8	0.8079
